Date,Price,Open,High,Low,Vol.,Change %
3/28/2023,73.34,72.93,74.04,72.33,138.51K,0.56%
3/27/2023,72.93,69.75,73.2,69.27,125.01K,5.07%
3/24/2023,69.41,69.67,70.53,67.02,153.65K,-1.01%
3/23/2023,70.12,70.07,71.79,69.3,166.52K,-1.27%
3/22/2023,71.02,69.57,71.43,69.03,148.11K,1.94%
3/21/2023,69.67,67.83,69.77,66.9,409.50K,2.73%
3/20/2023,67.82,66.9,67.9,64.36,418.54K,1.33%
3/17/2023,66.93,68.47,69.83,65.38,482.49K,-2.32%
3/16/2023,68.52,68.38,69.53,65.89,251.50K,1.15%
3/15/2023,67.74,71.69,72.71,65.79,356.42K,-5.25%
3/14/2023,71.49,74.77,75.02,70.94,216.69K,-4.57%
3/13/2023,74.91,76.77,77.56,72.44,167.40K,-2.44%
3/10/2023,76.78,75.78,77.2,74.92,143.19K,1.24%
3/9/2023,75.84,76.65,78.17,75.57,147.72K,-1.26%
3/8/2023,76.81,77.36,77.88,76.26,136.03K,-1.17%
3/7/2023,77.72,80.59,81.04,77.18,163.00K,-3.53%
3/6/2023,80.56,80.04,80.72,78.44,80.13K,0.97%
3/3/2023,79.79,78.02,80,76,99.09K,1.89%
3/2/2023,78.31,77.9,78.72,77.39,61.37K,0.62%
